cut_off	num_rel	true_recall	SWIFT	SWIFT+forget0.1	SWIFT+forget0.2	SWIFT+forget0.5
30	4	0.23529411764705882	0.0015968488848902584	0.0015754233950374162	0.0016051364365971107	0.001702127659574468
60	9	0.5294117647058824	0.0015355250109376135	0.0015072852118573103	0.0015113350125944584	0.0015233581584292485
90	11	0.6470588235294118	0.004917666343868963	0.004793028322440087	0.0048330404217926184	0.0049460431654676255
120	12	0.7058823529411765	0.008161270097869327	0.007973421926910298	0.008119079837618403	0.008522727272727272
150	12	0.7058823529411765	0.011960175066780676	0.011928429423459244	0.012526096033402923	0.014563106796116505
180	13	0.7647058823529411	0.017031707292169282	0.016645326504481434	0.017218543046357615	0.018867924528301886
210	15	0.8823529411764706	0.019321121259475625	0.018072289156626505	0.017857142857142856	0.017064846416382253
240	15	0.8823529411764706	0.02399621112606049	0.022970903522205207	0.023474178403755867	0.02508361204013378
270	15	0.8823529411764706	0.02864187169075414	0.028089887640449437	0.029644268774703556	0.03546099290780142
300	16	0.9411764705882353	0.030866332290451125	0.02952029520295203	0.03018867924528302	0.03162055335968379
330	16	0.9411764705882353	0.035775109971897125	0.03508771929824561	0.037037037037037035	0.043596730245231606
360	16	0.9411764705882353	0.04065015636664236	0.04081632653061224	0.0446927374301676	0.05904059040590406
390	16	0.9411764705882353	0.04549180966670652	0.0469208211143695	0.052980132450331126	0.07881773399014778
420	17	1.0	0.04450261780564331	0.04450261780104712	0.047752808988764044	0.05501618122977346
450	17	1.0	0.0495380978834677	0.050746268656716415	0.056291390728476824	0.07327586206896551
480	17	1.0	0.054520787406925744	0.05723905723905724	0.06563706563706563	0.096045197740113
510	17	1.0	0.05945150010024079	0.06415094339622641	0.07589285714285714	0.125
540	17	1.0	0.06433106179013026	0.07112970711297072	0.08717948717948718	0.1588785046728972
570	17	1.0	0.06916024867767158	0.07834101382488479	0.09941520467836257	0.2
600	17	1.0	0.07393983328568894	0.08585858585858586	0.1118421052631579	0.2463768115942029
630	17	1.0	0.07867058403118417	0.09392265193370165	0.1259259259259259	0.30357142857142855
660	17	1.0	0.08335325362227587	0.10179640718562874	0.14166666666666666	0.3617021276595745
690	17	1.0	0.08798857276464513	0.11038961038961038	0.1574074074074074	0.425
720	17	1.0	0.09257724637963108	0.11888111888111888	0.17525773195876287	0.4857142857142857
750	17	1.0	0.09711997175182155	0.12781954887218044	0.19318181818181818	0.5483870967741935
780	17	1.0	0.10161744024915077	0.13709677419354838	0.2125	0.6071428571428571
810	17	1.0	0.10607032480024967	0.14655172413793102	0.2328767123287671	0.6538461538461539
840	17	1.0	0.11047928516252871	0.1559633027522936	0.2537313432835821	0.7083333333333334
870	17	1.0	0.11484499170331786	0.1650485436893204	0.27419354838709675	0.7391304347826086
900	17	1.0	0.11916800738792195	0.17525773195876287	0.2982456140350877	0.7727272727272727
930	17	1.0	0.12344902510151333	0.18681318681318682	0.32075471698113206	0.8095238095238095
960	17	1.0	0.12768863097053565	0.19767441860465115	0.3469387755102041	0.85
