cut_off	num_rel	true_recall	SWIFT	SWIFT+forget0.1	SWIFT+forget0.2	SWIFT+forget0.5
30	13	0.07514450867052024	0.044368600682759475	0.040625	0.04075235109717868	0.04113924050632911
60	21	0.12138728323699421	0.07234251968530156	0.06645569620253164	0.06666666666666667	0.0673076923076923
90	27	0.15606936416184972	0.1518275538904758	0.13705583756345177	0.1377551020408163	0.13917525773195877
120	32	0.18497109826589594	0.16866315285202166	0.1523809523809524	0.15311004784688995	0.1553398058252427
150	41	0.23699421965317918	0.09330905780622233	0.08686440677966102	0.0870488322717622	0.08723404255319149
180	50	0.28901734104046245	0.1808785529721556	0.16556291390728478	0.16501650165016502	0.16447368421052633
210	58	0.3352601156069364	0.25688976377953004	0.23481781376518218	0.23481781376518218	0.23673469387755103
240	65	0.37572254335260113	0.3706140350898554	0.33678756476683935	0.3385416666666667	0.3403141361256545
270	71	0.41040462427745666	0.29460580912963064	0.27099236641221375	0.2720306513409962	0.2751937984496124
300	81	0.4682080924855491	0.33523021210660764	0.30916030534351147	0.3103448275862069	0.313953488372093
330	96	0.5549132947976878	0.16551724137931034	0.15584415584415584	0.15584415584415584	0.15584415584415584
360	108	0.6242774566473989	0.43221610805520744	0.4	0.4	0.40148698884758366
390	113	0.653179190751445	0.5612582781477349	0.5207373271889401	0.5207373271889401	0.518348623853211
420	115	0.6647398843930635	0.7001522070047291	0.6571428571428571	0.6609195402298851	0.6686046511627907
450	126	0.7283236994219653	0.5255474452566732	0.490272373540856	0.490272373540856	0.49411764705882355
480	136	0.7861271676300579	0.4942459115695098	0.4610169491525424	0.4610169491525424	0.4610169491525424
510	143	0.8265895953757225	0.5852660300147016	0.5478927203065134	0.5478927203065134	0.5478927203065134
540	150	0.8670520231213873	0.6633906633906638	0.625	0.625	0.6276150627615062
570	157	0.9075144508670521	0.7554129900775493	0.7168949771689498	0.7168949771689498	0.7201834862385321
600	164	0.9479768786127167	0.7103410936663908	0.6693877551020408	0.6693877551020408	0.6693877551020408
630	173	1.0	0.6491557223269508	0.6134751773049646	0.6134751773049646	0.6156583629893239
660	173	1.0	0.8809675366008911	0.8480392156862745	0.8522167487684729	0.865
690	173	1.0	0.9283250269619672	0.9010416666666666	0.9057591623036649	0.9202127659574468
720	173	1.0	0.9487249813379633	0.9251336898395722	0.9301075268817204	0.9453551912568307
750	173	1.0	0.9600853803962464	0.9402173913043478	0.9453551912568307	0.9611111111111111
780	173	1.0	0.9673248296348063	0.9505494505494505	0.9558011049723757	0.9719101123595506
810	173	1.0	0.9723413696220476	0.9558011049723757	0.9611111111111111	0.9774011299435028
