cut_off	num_rel	true_recall	SWIFT	SWIFT+forget0.1	SWIFT+forget0.2	SWIFT+forget0.5
30	20	0.014684287812041116	0.0003307835435184818	0.00032884460448215195	0.0003291097581043278	0.0003299023489047242
60	47	0.03450807635829662	0.0006478469427137895	0.000643915003219575	0.000643915003219575	0.000643915003219575
90	72	0.05286343612334802	0.001190781367578505	0.0011828681266326045	0.0011828681266326045	0.0011828292618816841
120	93	0.06828193832599119	0.0012821573331127472	0.0012743741178727545	0.0012743741178727545	0.0012743741178727545
150	109	0.08002936857562408	0.003599706079059022	0.003581638353103539	0.0035974784646357967	0.003646094664659642
180	110	0.08076358296622614	0.012011848050122164	0.012145301976371868	0.012494320763289414	0.013627353815659068
210	113	0.08296622613803231	0.020199722112166762	0.019779450376334676	0.019786377166870952	0.019779450376334676
240	115	0.08443465491923642	0.025415392079729215	0.025208241999123193	0.025629596612435926	0.02706519180983761
270	119	0.08737151248164464	0.00978015211652919	0.009674796747967479	0.0097119072880111	0.009821723341036646
300	124	0.09104258443465492	0.005461216827396128	0.005378676151643966	0.005355214856402505	0.005283790693710585
330	130	0.09544787077826726	0.008564957792941062	0.008502845182811171	0.008553194289097966	0.008709050713472232
360	137	0.10058737151248165	0.007532749591108319	0.0074630930980007625	0.007483885065006009	0.007548209366391185
390	140	0.1027900146842878	0.013774443488079931	0.013590913503543346	0.013625304136253041	0.013717421124828532
420	141	0.10352422907488987	0.022916582016726174	0.022956691631390427	0.02348825587206397	0.025246195165622203
450	143	0.10499265785609398	0.02701280506484617	0.026799100449775112	0.027155336118496014	0.028066732090284593
480	147	0.10792951541850221	0.015262670393752906	0.01516714816343376	0.015328467153284672	0.015847347994825355
510	147	0.10792951541850221	0.026997901423596912	0.027481772293886708	0.028621495327102803	0.032579787234042555
540	150	0.11013215859030837	0.03224896198749601	0.031107424305267525	0.030637254901960783	0.028857252789534438
570	154	0.1130690161527166	0.01350569908725979	0.01336921607778453	0.013436872873222231	0.013640389725420726
600	157	0.11527165932452275	0.019677026485777977	0.019289839046565917	0.01925199264255058	0.019095110678666993
630	158	0.11600587371512482	0.027346950918386206	0.02722260509993108	0.027690150718541886	0.029178208679593722
660	162	0.11894273127753303	0.02117180019149904	0.020516717325227963	0.020252531566445804	0.01945945945945946
690	164	0.12041116005873716	0.01968513603130167	0.019713907921625196	0.020098039215686276	0.021320852834113363
720	171	0.12555066079295155	0.011296169309922492	0.011284894080380123	0.011425135297654841	0.01186511240632806
750	173	0.12701908957415564	0.021683155637525646	0.02167648164390427	0.022063512307103687	0.023249563230748557
780	174	0.1277533039647577	0.034633292181046695	0.03463375796178344	0.03541624262161612	0.03773584905660377
810	174	0.1277533039647577	0.04801897832496056	0.04923599320882852	0.0518783542039356	0.061052631578947365
840	177	0.1299559471365639	0.04703631363044638	0.045384615384615384	0.04490106544901065	0.04332925336597307
870	183	0.1343612334801762	0.0033919510669359054	0.003368118822814864	0.003368056833658483	0.003367870879879272
900	186	0.13656387665198239	0.01734365615480483	0.017207882320288647	0.017342657342657344	0.017748091603053434
930	193	0.14170337738619676	0.0035796258085461653	0.0035521036551698754	0.0035497517013058674	0.0035427795216329827
960	202	0.14831130690161526	0.008947034772221455	0.008910061311808036	0.008970601296740386	0.009157675219874876
990	208	0.1527165932452276	0.014887285520522112	0.014833832548851804	0.014985590778097982	0.015448603683897801
1020	213	0.15638766519823788	0.02098677242190097	0.02062754212667054	0.02060559156428364	0.020534078858575146
1050	218	0.16005873715124816	0.017962345123793123	0.017852755712062893	0.018004625041295012	0.018468315825144018
1080	223	0.16372980910425844	0.017170403328675598	0.017039810498968442	0.017151207506537456	0.017476489028213166
1110	226	0.16593245227606462	0.027080683771410475	0.026386456509048452	0.026157407407407407	0.025430403960841678
1140	229	0.16813509544787078	0.02256472578305973	0.022422402819935378	0.022644121427865125	0.023331635252165053
1170	232	0.17033773861967694	0.03025338822077715	0.03001293661060802	0.030326797385620916	0.03127527635481262
1200	237	0.17400881057268722	0.01825880954545064	0.018306812915186158	0.018621827610591654	0.019624078827523393
1230	239	0.17547723935389134	0.03492251589834981	0.03502344665885111	0.03581060833083608	0.038282876822040686
1260	242	0.1776798825256975	0.036621385354992035	0.0358571640242999	0.03579352166839225	0.03552032878320857
1290	247	0.18135095447870778	0.016362898533988517	0.016268194691431207	0.01638909163293743	0.016757123473541385
1320	251	0.184287812041116	0.022051576309083026	0.021898447042400977	0.022079521463757915	0.022635043737036703
1350	255	0.18722466960352424	0.025134502443982125	0.02481993381350983	0.02490234375	0.025130580467133144
1380	261	0.19162995594713655	0.020120425205268154	0.019890260631001373	0.019941931540342298	0.020089285714285716
1410	265	0.1945668135095448	0.024700834784311884	0.0240734011627907	0.023830935251798562	0.023103748910200523
1440	273	0.20044052863436124	0.015121930954358698	0.014993409490333919	0.015046296296296295	0.015210608424336974
1470	276	0.2026431718061674	0.027192788000082214	0.027061476615354445	0.02736737729300942	0.028310595958559854
1500	282	0.20704845814977973	0.015625649337258327	0.015468158630903407	0.015497911628929434	0.015584415584415584
