cut_off	num_rel	true_recall	SWIFT	SWIFT+forget0.1	SWIFT+forget0.2	SWIFT+forget0.5
30	9	0.47368421052631576	0.024431625381941446	0.022613065326633167	0.022670025188916875	0.02295918367346939
60	14	0.7368421052631579	0.041181129087364154	0.03804347826086957	0.03825136612021858	0.038781163434903045
90	17	0.8947368421052632	0.07551360355358136	0.068	0.068	0.06746031746031746
120	18	0.9473684210526315	0.12351238340580496	0.11042944785276074	0.11180124223602485	0.11538461538461539
150	18	0.9473684210526315	0.17412781723312878	0.1565217391304348	0.16216216216216217	0.18
180	18	0.9473684210526315	0.220837043633129	0.2	0.21176470588235294	0.2535211267605634
210	19	1.0	0.24425398872439608	0.21839080459770116	0.2289156626506024	0.25333333333333335
240	19	1.0	0.28400073890865984	0.25675675675675674	0.2753623188405797	0.3220338983050847
270	19	1.0	0.3197755960906607	0.2923076923076923	0.31666666666666665	0.3958333333333333
300	19	1.0	0.3521456002887657	0.3275862068965517	0.3584905660377358	0.4634146341463415
330	19	1.0	0.3815747529740832	0.3584905660377358	0.3958333333333333	0.5428571428571428
360	19	1.0	0.4084464033479675	0.3877551020408163	0.4418604651162791	0.59375
390	19	1.0	0.4330800840369494	0.41304347826086957	0.475	0.6551724137931034
420	19	1.0	0.4557441436751226	0.4418604651162791	0.5135135135135135	0.7037037037037037
450	19	1.0	0.47666576750674483	0.4634146341463415	0.5428571428571428	0.76
480	19	1.0	0.49603844907986555	0.48717948717948717	0.5757575757575758	0.7916666666666666
510	19	1.0	0.5140280561587307	0.5135135135135135	0.59375	0.8260869565217391
540	19	1.0	0.5307775715045039	0.5277777777777778	0.6333333333333333	0.8636363636363636
570	19	1.0	0.5464110354357018	0.5588235294117647	0.6551724137931034	0.8636363636363636
600	19	1.0	0.5610363163807003	0.5757575757575758	0.6785714285714286	0.9047619047619048
630	19	1.0	0.5747479176381639	0.59375	0.7037037037037037	0.9047619047619048
660	19	1.0	0.5876288660403091	0.6129032258064516	0.7307692307692307	0.9047619047619048
690	19	1.0	0.5997524242432817	0.6129032258064516	0.7307692307692307	0.95
720	19	1.0	0.611183509385306	0.6333333333333333	0.76	0.95
750	19	1.0	0.6219797350643071	0.6551724137931034	0.76	0.95
780	19	1.0	0.6321926249639092	0.6551724137931034	0.7916666666666666	0.95
810	19	1.0	0.6418681927265691	0.6785714285714286	0.7916666666666666	0.95
840	19	1.0	0.6510477686526932	0.7037037037037037	0.8260869565217391	0.95
870	19	1.0	0.6597685391576937	0.7037037037037037	0.8260869565217391	1.0
900	19	1.0	0.6680639098329734	0.7037037037037037	0.8260869565217391	1.0
930	19	1.0	0.6759645970663728	0.7307692307692307	0.8636363636363636	1.0
960	19	1.0	0.6834978882605777	0.7307692307692307	0.8636363636363636	1.0
990	19	1.0	0.6906887193023343	0.76	0.8636363636363636	1.0
1020	19	1.0	0.6975602212904483	0.76	0.8636363636363636	1.0
1050	19	1.0	0.7041330219673526	0.76	0.9047619047619048	1.0
1080	19	1.0	0.7104261512949409	0.7916666666666666	0.9047619047619048	1.0
1110	19	1.0	0.7164571722078737	0.7916666666666666	0.9047619047619048	1.0
1140	19	1.0	0.7222421076161076	0.7916666666666666	0.9047619047619048	1.0
1170	19	1.0	0.7277957189685332	0.7916666666666666	0.9047619047619048	1.0
1200	19	1.0	0.7331316481822824	0.7916666666666666	0.9047619047619048	1.0
1230	19	1.0	0.738262248223557	0.8260869565217391	0.9047619047619048	1.0
1260	19	1.0	0.743199417664048	0.8260869565217391	0.95	1.0
1290	19	1.0	0.7479537483132883	0.8260869565217391	0.95	1.0
1320	19	1.0	0.7525352383167325	0.8260869565217391	0.95	1.0
1350	19	1.0	0.7569530805215949	0.8260869565217391	0.95	1.0
1380	19	1.0	0.761216074835327	0.8636363636363636	0.95	1.0
1410	19	1.0	0.7653320435001207	0.8636363636363636	0.95	1.0
1440	19	1.0	0.7693085201260406	0.8636363636363636	0.95	1.0
1470	19	1.0	0.7731524789522691	0.8636363636363636	0.95	1.0
1500	19	1.0	0.7768704353326427	0.8636363636363636	0.95	1.0
1530	19	1.0	0.7804684848871852	0.8636363636363636	0.95	1.0
1560	19	1.0	0.7839523359842602	0.8636363636363636	0.95	1.0
1590	19	1.0	0.7873273415185802	0.8636363636363636	0.95	1.0
1620	19	1.0	0.7905984542725436	0.9047619047619048	0.95	1.0
1650	19	1.0	0.7937705964750787	0.9047619047619048	0.95	1.0
1680	19	1.0	0.7968480026249077	0.9047619047619048	0.95	1.0
1710	19	1.0	0.7998349052460652	0.9047619047619048	0.95	1.0
1740	19	1.0	0.8027351817982856	0.9047619047619048	1.0	1.0
